tweetId,tweetText
1567278589871259649,"Austin
@AustinBeilgard
Friendly reminder for when PG&E shuts your power off that they have been convicted of 6 felonies for killing their customers and are still allowed to service California because they are “too big to fail”. Ok that’s it. Stay cool today and drink water.
3:28 PM · Sep 6, 2022
2,672
 Reposts
62
 Quotes
9,363
 Likes
194
 Bookmarks"
1565026009497227264,"Michael Shellenberger
@shellenberger
August 24: California bans sale of new gasoline-powered cars

August 30: California asks Californians to avoid charging electric vehicles due to electricity shortages
10:17 AM · Aug 31, 2022
16.3K
 Reposts
3,072
 Quotes
58.5K
 Likes
1,831
 Bookmarks"
1567884554790133761,"Kawira mwangaza
@KawiraMwangazaG
Queen Elizabeth II has died aged 96, Buckingham Palace has announced.
#QueenElizabeth
7:36 AM · Sep 8, 2022
1
 Repost
1
 Like"
1567904044210855937,"Duty To Warn
@duty2warn
Since Trump absconded with our list of secret agents, our secret agents have been arrested and killed at an alarming rate. 
That’s worse than shooting someone on 5th Ave. 
Way, way worse.
8:53 AM · Sep 8, 2022"
1568021489508564992,"House Republicans
@HouseGOP
Homicide rates are up roughly 50% since 2019.
 
Americans deserve law & order, but Democrat officials across the country have created chaos with soft-on-crime policies, failed bail reform, and the ‘Defund the Police’ movement.
 
House GOP is committed to a nation that is safe.
4:40 PM · Sep 8, 2022"
1567863369771749377,"Rep. Marjorie Taylor Greene
@RepMTG
This child is not old enough to vote, buy cigarettes, or watch an R rated movie, but they let her choose to have them cut her breast off.

My Protect Children’s Innocence Act will stop this.
Chloe Cole
@ChoooCole
·
Sep 7, 2022
Reality check: Nothing is okay about this.
6:12 AM · Sep 8, 2022"
1564384403601620992,"Andrew—Author of America Rises Newsletter—Wortman
@AmoneyResists
For MAGA still citing 
@DineshDSouza
’s propaganda book/film “2000 Mules” as “proof the 2020 election was stolen,” it has been officially RECALLED BY ITS PUBLISHER FOR DISINFORMATION.
Readers added context they thought people might want to know
The publisher has not given a reason other than a ""publishing error"" for the recall. They did not mention disinformation.
yahoo.com/entertainment/…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
3:48 PM · Aug 29, 2022"
1568274047783280640,"Heal the Planet
@fwtoney
BREAKING:  Saudi crown prince says Jared Kushner handed him U.S. intelligence
9:24 AM · Sep 9, 2022
13.1K
 Reposts
1,393
 Quotes
43.2K
 Likes
697
 Bookmarks"
1568393141895720961,"cohost.org/adrienne
@iridienne
Max Temkin is a credibly alleged rapist, and his company had their only Black employee *institutionalized* for complaining about racism. Don't buy or support the game.
Kolleen
@littlewhitty
·
Sep 6, 2022
Cards Against Humanity is donating 100% of their profits to the National Network of Abortion Funds if the order comes from a state restricting abortion access.

If someone selects “I didn’t agree to this” an additional $5 donation is added to their cart. 
5:17 PM · Sep 9, 2022
193
 Reposts
3
 Quotes
426
 Likes
15
 Bookmarks"
1568711382882738176,"Lee Zeldin
@leezeldin
 Did Kathy Hochul break into my campaign office last night? Sure looks like it. Time to debate #ScaredyKat! It’s Sep 10 & Hochul STILL hasn’t accepted ANY debate requests. She thinks we have to elect her to find out where she stands on issues. It doesn’t work like that Kat!
2:21 PM · Sep 10, 2022
226
 Reposts
25
 Quotes
961
 Likes
2
 Bookmarks"
