tweetId,tweetText
1552702312422014978,"Alexei Arora
@AlexeiArora
Holy shit they just changed the definition of “recession” on Wikipedia

And it’s locked from further editing

Can’t make Biden look bad before the midterm elections!"
1552848102276665344,"Chuck Callesto
@ChuckCallesto
BREAKING REPORT: Wikipedia CHANGES THE DEFINITION OF RECESSION and then locked the page..

PAYING ATTENTION YET?
7:46 PM · Jul 28, 2022
4,412
 Reposts
208
 Quotes
10.1K
 Likes
65
 Bookmarks
65"
1553019163601502209,"Dr. Eli David
@DrEliDavid
 Breaking: Wikipedia just changed the definition of recession from “two consecutive quarters of decline in GDP” to “there is no consensus on definition of recession”, and locked the page for editing 

Ministry of Truth rewriting everything in front of your eyes.
_
Readers added context they thought people might want to know
The definition of ""Recession"" on Wikipedia has not changed. The ""no consensus"" version widely shared on social media was written by a Wikipedia user, and was reverted after a short period of time.

en.wikipedia.org/wiki/Talk:Rece…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
7:06 AM · Jul 29, 2022
797
 Reposts
91
 Quotes
2,027
 Likes
62
 Bookmarks
62"
1553026531194277889,"Tim Young
@TimRunsHisMouth
Wikipedia changed and locked the definition of recession to cover for Biden's failures... but let's face it, if you're trusted Wikipedia for your definition of anything at all, you're screwed to begin with.
7:35 AM · Jul 29, 2022
1,147
 Reposts
54
 Quotes
8,433
 Likes
16
 Bookmarks
16"
1552995348775424000,"Pamela Hensley
@PamelaHensley22
Wikipedia changed the definition of recession that has been used for 50 years and then locked the page. Does this remind anybody else of Orwell's 1984?
5:31 AM · Jul 29, 2022
1,802
 Reposts
119
 Quotes
7,235
 Likes
35
 Bookmarks
35"
1552897307540168704,"The_Real_Fly
@The_Real_Fly
WIKIPEDIA CHANGES DEFINITION OF RECESSION, LOCKS EDITING TO “PREVENT VANDALISM”
11:02 PM · Jul 28, 2022
183
 Reposts
31
 Quotes
549
 Likes
16
 Bookmarks
16"
1553036277540200448,"James Hirsen
@thejimjams
Wikipedia Attempts To Change The Definition Of ‘Recession’ 41 Times
dailycaller.com
Wikipedia Attempts To Change The Definition Of ‘Recession’ 41 Times
Wikipedia users attempted to change the definition of ""recession"" 41 times in roughly one week, leading an administrator to lock to place a pause on editing.
8:14 AM · Jul 29, 2022
194
 Reposts
15
 Quotes
533
 Likes
8
 Bookmarks
8"
1553394386888712192,"Steve S
@porschejag
Any doctor who is ignoring what is going on to save their practice is evil. #VaccineInjured #VaccineSideEffects #VaccineDeaths
7:57 AM · Jul 30, 2022
829
 Reposts
32
 Quotes
3,216
 Likes
9
 Bookmarks
9"
1553399818084564993,"The Satorialist
@TheSatorialist
#Nuremberg2 for the #VaccineInjured 
For humanity. https://twitter.com/brixwe/status/1553106611798872065…
This post is unavailable.
8:19 AM · Jul 30, 2022
1,636
 Reposts
73
 Quotes
3,866
 Likes
77
 Bookmarks
77"
1567257731765080070,"New World Odor™
@hugh_mankind
California: You need a gas generator to charge your $120K electric super car because the grid is overloaded   

You gotta love the irony.
2:05 PM · Sep 6, 2022
26.7K
 Reposts
3,618
 Quotes
114.1K
 Likes
2,064
 Bookmarks
2,064"
1569268580734099456,"Carolyn Brown
@BrownWhitney9
Omg so all funerals due on the 19 th have been cancelled !My heartfelt sympathy with all those bereft families involved .
3:15 AM · Sep 12, 2022
3,149
 Reposts
809
 Quotes
24.5K
 Likes
224
 Bookmarks
224"
1569630849448181762,"Child of Alba
@ChildOfAlba
Supermarkets & GP surgeries closed. Cancer appointments cancelled. All other funerals cancelled on day Queen is buried. How can anyone defend this as even remotely normal behaviour for a country?
3:15 AM · Sep 13, 2022
1,193
 Reposts
60
 Quotes
4,898
 Likes
22
 Bookmarks
22"
1590887443032580097,"Brigitte Gabriel
@ACTBrigitte
Lauren Boebert's victory is one of the most impressive wins in recent years.

I don't think there is another candidate in the country who would have won this race.

Boebert should be considered for House Republican Leadership.
6:01 PM · Nov 10, 2022
2,066
 Reposts
201
 Quotes
15.3K
 Likes
36
 Bookmarks
36"
1593032870704353282,"Senator Ted Cruz
@SenTedCruz
This isn’t just the most expensive Thanksgiving meal to date – Americans will also pay the most at the pump.
 
Gas will cost $3.68 – 20 cents more per gallon than last year.
 
#BidenFlation
usatoday.com
Americans will face record-high gas prices for Thanksgiving travel
Americans are ready to travel for Thanksgiving this year. With most going by car, they will have to face the highest gas prices ever for the holiday.
4:06 PM · Nov 16, 2022
159
 Reposts
44
 Quotes
792
 Likes"
