tweetId,tweetText
1598850682487943168,"Elon Musk
@elonmusk
If this isn’t a violation of the Constitution’s First Amendment, what is?
5:24 PM · Dec 2, 2022
17.9K
 Reposts
1,980
 Quotes
109.6K
 Likes
302
 Bookmarks"
1597613021257310208,"Kristina Lawson
@kdlaw
As of November 23 ⁦
@Twitter
⁩ is no longer enforcing its COVID-19 misinformation policy. This platform has the potential to be flooded with dangerous misinformation that could cause harm. For reliable, up-to-date information and resources visit http://covid-19.ca.gov.
Readers added context they thought people might want to know
Twitter is taking a new direction under Elon Musk, making the COVID-19 specific policy obsolete.

help.twitter.com/en/rules-and-p…

If you see any tweet that is clearly misleading and can benefit from additional context, please bring it to the notice of @CommunityNotes. We can help.

twitter.github.io/communitynotes…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
7:26 AM · Nov 29, 2022
519
 Reposts
896
 Quotes
2,145
 Likes
53
 Bookmarks
Who can reply?
People @kdlaw follows or mentioned can reply"
1598741839665717248,"Sen. Marsha Blackburn
@MarshaBlackburn
No servicemember should have to choose between serving our country and a shot.
0:43
10:12 AM · Dec 2, 2022
1,627
 Reposts
721
 Quotes
8,140
 Likes
17
 Bookmarks"
1374348477006766084,"Jake Sherman
@JakeSherman
One other note: Activists have pointed out that in Georgia, for instance, it’s easier to buy a gun than to register to vote. This says a lot about where America is headed in 2021.
6:13 AM · Mar 23, 2021"
1599903684334391299,"Eli Stokols
@EliStokols
NEW: WH claps back at Bernie world over DNC primary calendar:

“Making sure that the Democratic party’s most loyal voters — Black voters — are at the front of the line and not at the back of the bus feels like something no one should be arguing about.”
politico.com
Biden and Sanders worlds are again at loggerheads over South Carolina
3:08 PM · Dec 5, 2022"
1600883671291944960,"Brady | United Against Gun Violence
@bradybuzz
LIVE: We've published a full-page ad in today's 
@rollcall
 bringing attention to America's gun violence epidemic.

We are sick of seeing this public health crisis kill our youth.
 
 Join us and 
@ThisIsOurLane
 now to demand change at http://bradyunited.org/thisisourlane.
ThisIsOurLane
8:03 AM · Dec 8, 2022"
1600858728856965121,"Ben Shapiro
@benshapiro
The word ""grooming"" does not mean simply preparing a child for sexual predation by an adult. It can also mean an attempt to indoctrinate children into a perverse worldview. An enormous number schools, both public and private, are interested in precisely that sort of grooming.
Larry O'Connor
@LarryOConnor
·
Dec 8, 2022
BREAKING: @fwparker Dean of Students Brags About Bringing in LGBTQ+ Health Center to Teach ""Queer Sex"" to Minors

""Passing around dildos and butt plugs...kids are just playing with them...that's a really like, cool part of my job.""

#ExposeGroomers
6:23 AM · Dec 8, 2022"
1601008766861815808,"Bari Weiss
@bariweiss
1. A new #TwitterFiles investigation reveals that teams of Twitter employees build blacklists, prevent disfavored tweets from trending, and actively limit the visibility of entire accounts or even trending topics—all in secret, without informing users.
4:20 PM · Dec 8, 2022"
1601013855697588224,"Bari Weiss
@bariweiss
6. Twitter denied that it does such things. In 2018, Twitter's Vijaya Gadde (then Head of Legal Policy and Trust) and Kayvon Beykpour (Head of Product) said: “We do not shadow ban.” They added: “And we certainly don’t shadow ban based on political viewpoints or ideology.”
4:40 PM · Dec 8, 2022"
1600869858689679360,"Donald Trump Jr.
@DonaldJTrumpJr
The Biden Admin was apparently worried that their DEI score would go down if they freed an American Marine.
7:08 AM · Dec 8, 2022"
