tweetId,tweetText
1690084401030529028,"Charlie Kirk
@charliekirk11
The FDA has now endorsed treating COVID with Ivermectin! The FDA has blood on its hands. How many Americans senselessly died because Big Medicine called this cheap, readily available Nobel Prize winning medicine horse paste?

Thank you Ron Johnson your leadership and bravery.
Readers added context they thought people might want to know
The FDA has not endorsed or authorized ivermectin for use as a treatment for COVID-19

fda.gov/consumers/cons…

The FDA has simply given the recommendation that ivermectin not be used. This does not forbid or recommend doctors take any action in prescribing the medication. "
1665116384098127872,"あるる ChatGPT × AIツール
@chatgptair
実はChatGPT Plusは無料で使える

月額20ドルも払う必要はありません

99%の人が知らないその方法を紹介:

ブックマーク保存をおすすめします↓
Translate post
Readers added context they thought people might want to know
ChatGPT PlusではなくGPT-4である
news.microsoft.com/ja-jp/2023/03/…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
3:00 PM · Jun 3, 2023
·
1.2M
 Views
390
 Reposts
35
 Quotes
4,322
 Likes
6,015
 Bookmarks"
1642648843010428931,"Dave Portnoy
@stoolpresidente
Classless piece of shit
SportsCenter
@SportsCenter
·
Apr 2
ANGEL REESE TO CAITLIN CLARK 
0:05
3:02 PM · Apr 2, 2023
·
79.3M
 Views
4,734
 Reposts
9,438
 Quotes
68.2K
 Likes
1,278
 Bookmarks"
1646266190539673600,"Dane
@UltraDane
Why is the NYC subway a literal sh*th*le and Tokyo's is immaculate.
2:37 PM · Apr 12, 2023
·
2.7M
 Views
2,880
 Reposts
1,001
 Quotes
12.4K
 Likes
337
 Bookmarks"
1640418153435140096,"applebees 2 for $26
@CWC_Rosechu
BREAKING:

Nashville Police have positively identified the corpse of the suspected Nashville  Covenant School shooter as 31 year old Samantha Hyde. Social media posts indicate Samantha was a trans woman who previously went by the name Samuel
Readers added context they thought people might want to know
This is not the shooter. It's one of a long running line of hoaxes in which fans of controversial comedian Sam Hyde identify him as a shooter.

en.wikipedia.org/wiki/Sam_Hyde#…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
11:18 AM · Mar 27, 2023
·
2.6M
 Views
504
 Reposts
416
 Quotes
2,643
 Likes
197
 Bookmarks"
1655294178102747139,"BNO News
@BNONews
Mauricio Garcia, who carried out the Texas mall attack, may have had ""white supremacist or neo-Nazi motivations,"" sources say, according to WaPo and WSJ
12:31 PM · May 7, 2023
·
437K
 Views
332
 Reposts
243
 Quotes
1,172
 Likes
42
 Bookmarks"
1665458095563186178,"𝕏 Chaos Memer, lawful but aweful! 𝕏
@Chaos_Memer
A small plane transporting FBI whistleblowers to testify before congress was just intercepted by two F16s from Andrew’s Air Force base and crashed just outside of Staunton, VA. The Clinton’s, Obama’s, and Biden’s have no comment at this time.
1:38 PM · Jun 4, 2023
·
44K
 Views
19
 Reposts
8
 Quotes
88
 Likes
10
 Bookmarks"
1672309413288214530,"John Ament
@JohnAment7
That was quick! 
11:23 AM · Jun 23, 2023
·
6,533
 Views"
1664096349841760256,"Jack Poso
@JackPosobiec
A Mexican cartel member was just filmed with a US-made Javelin anti-tank missile

These were the missiles the US flooded into Ukraine in 2022
From 
Azucena Uresti
Readers added context they thought people might want to know
The video depicts a man carrying at AT-4 Single-use anti-tank recoilless rifle.

military-today.com/firearms/at4.h…
imfdb.org/wiki/Talk:Saab…

The FGM-148 Javelin is a larger shoulder-fired ATGM and also requires a Command Launch Unit. 

missilethreat.csis.org/missile/fgm-14…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
7:27 PM · May 31, 2023
·
1.1M
 Views"
1664084081888329730,"Citizen Free Press
@CitizenFreePres
Mexican TV reports that dozens of U.S. AT-4 weapons systems, which were originally shipped to Ukraine, have been purchased by Cartel Golfo in Mexico.
From 
Azucena Uresti
Readers added context they thought people might want to know
It is a mistranslation.
It is saying these weapons are LIKE the ones in Ukraine not ones FROM Ukraine.

twitter.com/elmochiiiii/st…

These weapons have been used across Mexico for m possibly a decade now anyways. 
youtu.be/qxoHxx5CopU
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
6:38 PM · May 31, 2023
·
2.7M
 Views
6,393
 Reposts
1,483
 Quotes
10.6K
 Likes
897
 Bookmarks"
